_id;title;description;event_dates;event_date;date_display_mode;is_permanent;date_range_from;date_range_to;schedule;date_display;address;coordinates_lat;coordinates_lng;category;event_image;price;price_description;is_premium;phone;source;status;createdBy;updatedBy;createdAt;updatedAt
;As December Falls;As December Falls is listed as a live music performance in Warsaw. It is scheduled on 18 September 2026 at 18:00 at Klub Mechanik, 87 Narbutta St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-18T18:00;;sessions;false;;;;;Klub Mechanik, 87 Narbutta St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Lilyisthatyou: The Flowers Have Feelings Tour;Lilyisthatyou: The Flowers Have Feelings Tour is listed as a live music performance in Warsaw. It is scheduled on 19 September 2026 at 18:00 at Klub Hybrydy, 7/9 Złota St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-19T18:00;;sessions;false;;;;;Klub Hybrydy, 7/9 Złota St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Vanessa Paradis;Vanessa Paradis is listed as a pop concert in Warsaw. It is scheduled on 20 September 2026 at 18:00 at Klub Stodoła, 10 Batorego St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-20T18:00;;sessions;false;;;;;Klub Stodoła, 10 Batorego St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Allegaeon x Gorod, support: Halysis;Allegaeon x Gorod, support: Halysis is listed as a metal concert in Warsaw. It is scheduled on 20 September 2026 at 19:30 at VooDoo Club — Stage 1, 48A Prymasa Tysiąclecia Ave, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-20T19:30;;sessions;false;;;;;VooDoo Club — Stage 1, 48A Prymasa Tysiąclecia Ave, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;WITCHZ;WITCHZ is listed as a live music performance in Warsaw. It is scheduled on 20 September 2026 at 20:00 at Niebo, 21C Nowy Świat St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-20T20:00;;sessions;false;;;;;Niebo, 21C Nowy Świat St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;JJ: Act II — Into The Unknown Tour;JJ: Act II — Into The Unknown Tour is listed as a live music performance in Warsaw. It is scheduled on 21 September 2026 at 18:00 at Klub Niebo, 21C Nowy Świat St, Warsaw. The published starting price is 115 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-21T18:00;;sessions;false;;;;;Klub Niebo, 21C Nowy Świat St, Warsaw;;;;;115;Tickets from 115 PLN;false;;https://www.ticketmaster.pl/event/jj-act-ii-into-the-unknown-tour-bilety/1770994825?language=en-us;active;;;;
;Isabel van Gelder;Isabel van Gelder is listed as a live music performance in Warsaw. It is scheduled on 22 September 2026 at 18:00 at BARdzo bardzo, 18 Środkowa St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-22T18:00;;sessions;false;;;;;BARdzo bardzo, 18 Środkowa St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Stand Atlantic;Stand Atlantic is listed as a live music performance in Warsaw. It is scheduled on 23 September 2026 at 18:00 at Klub Hybrydy, 7/9 Złota St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-23T18:00;;sessions;false;;;;;Klub Hybrydy, 7/9 Złota St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Węże;Węże is listed as a live music performance in Warsaw. It is scheduled on 23 September 2026 at 18:00 at Hydrozagadka, 22 11 Listopada St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-23T18:00;;sessions;false;;;;;Hydrozagadka, 22 11 Listopada St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Mad Tsai: The Bite Back Tour;Mad Tsai: The Bite Back Tour is listed as a live music performance in Warsaw. It is scheduled on 24 September 2026 at 18:00 at Klub OCZKI, 1A Oczki St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-24T18:00;;sessions;false;;;;;Klub OCZKI, 1A Oczki St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Stu Larsen, support: Imme & Julia Adriana;Stu Larsen, support: Imme & Julia Adriana is listed as a live music performance in Warsaw. It is scheduled on 26 September 2026 at 20:00 at Chmury, 22 11 Listopada St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-26T20:00;;sessions;false;;;;;Chmury, 22 11 Listopada St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Peter Hammill;Peter Hammill is listed as a live music performance in Warsaw. It is scheduled on 27 September 2026 at 20:00 at Palladium, 9 Złota St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-27T20:00;;sessions;false;;;;;Palladium, 9 Złota St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Father Of Peace: The Year Of Madness & The Mystery Century Tour;Father Of Peace: The Year Of Madness & The Mystery Century Tour is listed as a live music performance in Warsaw. It is scheduled on 28 September 2026 at 18:00 at Klub OCZKI, 1A Oczki St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-28T18:00;;sessions;false;;;;;Klub OCZKI, 1A Oczki St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.com/father-of-peace-tickets/artist/4413949?tt_scene=anchor_view;active;;;;
;Kiss Facility;Kiss Facility is listed as a live music performance in Warsaw. It is scheduled on 28 September 2026 at Klub Niebo, 21C Nowy Świat St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-28;;sessions;false;;;;;Klub Niebo, 21C Nowy Świat St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?categoryId=KZFzniwnSyZfZ7v7nJ&language=en-us&page=6;active;;;;
;The Amity Affliction, support: Silent Planet, Varials, Orthodox;The Amity Affliction, support: Silent Planet, Varials, Orthodox is listed as a live music performance in Warsaw. It is scheduled on 29 September 2026 at 18:00 at Klub Progresja, 22 Fort Wola St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-29T18:00;;sessions;false;;;;;Klub Progresja, 22 Fort Wola St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Vundabar and Yot Club;Vundabar and Yot Club is listed as a live music performance in Warsaw. It is scheduled on 29 September 2026 at 18:00 at Klub Hybrydy, 7/9 Złota St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-29T18:00;;sessions;false;;;;;Klub Hybrydy, 7/9 Złota St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;City of the Sun;City of the Sun is listed as a live music performance in Warsaw. It is scheduled on 29 September 2026 at 20:00 at VooDoo Club — Stage 1, 48A Prymasa Tysiąclecia Ave, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-29T20:00;;sessions;false;;;;;VooDoo Club — Stage 1, 48A Prymasa Tysiąclecia Ave, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;Future Palace;Future Palace is listed as a live music performance in Warsaw. It is scheduled on 29 September 2026 at 20:00 at Hydrozagadka, 22 11 Listopada St, Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-29T20:00;;sessions;false;;;;;Hydrozagadka, 22 11 Listopada St, Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://kiedykoncert.pl/koncerty/warszawa/2026-09;active;;;;
;SKOLIM: Król Latino;SKOLIM: Król Latino is listed as a live music performance in Warsaw. It is scheduled on 4 September 2026 at 19:00 at Amfiteatr Bemowo, Górczewska Park, Raginisa St, Warsaw. The published starting price is 107.90 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-04T19:00;;sessions;false;;;;;Amfiteatr Bemowo, Górczewska Park, Raginisa St, Warsaw;;;;;107.90;Tickets from 107.90 PLN;false;;https://stadionnarodowy.waw.pl/pl/events/2026/09/skolim-krol-latino-koncert-w-warszawie;active;;;;
;JIMEK | Orchestra | Guests: History of Polish Hip-Hop, Chapter III: The Final;JIMEK | Orchestra | Guests: History of Polish Hip-Hop, Chapter III: The Final is listed as a orchestral hip-hop concert in Warsaw. It is scheduled on 12 September 2026 at Bemowo Airport, Warsaw. The published starting price is 245 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-09-12;;sessions;false;;;;;Bemowo Airport, Warsaw;;;;;245;Tickets from 245 PLN;false;;https://hphh.pl/;active;;;;
;Anastacia: #NTKTOUR 2026;Anastacia: #NTKTOUR 2026 is listed as a pop concert in Warsaw. It is scheduled on 13 October 2026 at 18:00 at COS Torwar, Łazienkowska 6A, 00-449 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-13T18:00;;sessions;false;;;;;COS Torwar, Łazienkowska 6A, 00-449 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Xandria;Xandria is listed as a live music performance in Warsaw. It is scheduled on 13 October 2026 at 20:00 at Klub Hydrozagadka, 11 Listopada 22, 03-436 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-13T20:00;;sessions;false;;;;;Klub Hydrozagadka, 11 Listopada 22, 03-436 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Declan Welsh and The Decadent West;Declan Welsh and The Decadent West is listed as a live music performance in Warsaw. It is scheduled on 14 October 2026 at 18:00 at Klub Hydrozagadka, 11 Listopada 22, 03-436 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-14T18:00;;sessions;false;;;;;Klub Hydrozagadka, 11 Listopada 22, 03-436 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Cat Power: The Greatest Tour;Cat Power: The Greatest Tour is listed as a live music performance in Warsaw. It is scheduled on 14 October 2026 at 20:00 at Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-14T20:00;;sessions;false;;;;;Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Yaelokre, support: Ben Caplan;Yaelokre, support: Ben Caplan is listed as a live music performance in Warsaw. It is scheduled on 14 October 2026 at 20:00 at Progresja, Fort Wola 22, 01-258 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-14T20:00;;sessions;false;;;;;Progresja, Fort Wola 22, 01-258 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Happysad: XXV TOUR;Happysad: XXV TOUR is listed as a live music performance in Warsaw. It is scheduled on 15 October 2026 at 19:00 at Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw. The published starting price is 147.34 PLN. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-15T19:00;;sessions;false;;;;;Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw;;;;;147.34;Tickets from 147.34 PLN;false;;https://www.ticketmaster.pl/event/happysad--xxv-tour-bilety/1285594030?language=en-us;active;;;;
;GZUZ;GZUZ is listed as a live music performance in Warsaw. It is scheduled on 15 October 2026 at 20:00 at Progresja, Fort Wola 22, 01-258 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-15T20:00;;sessions;false;;;;;Progresja, Fort Wola 22, 01-258 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;ARK: HI-LO;ARK: HI-LO is listed as a electronic music event in Warsaw. It is scheduled on 16 October 2026 at 23:00 at Progresja, Fort Wola 22, 01-258 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-16T23:00;;sessions;false;;;;;Progresja, Fort Wola 22, 01-258 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;BERRE: How Beautiful This Life Is EU Tour 2026;BERRE: How Beautiful This Life Is EU Tour 2026 is listed as a live music performance in Warsaw. It is scheduled on 17 October 2026 at 18:00 at Klub Hybrydy, Złota 7/9, 00-019 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-17T18:00;;sessions;false;;;;;Klub Hybrydy, Złota 7/9, 00-019 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Drink The Sea;Drink The Sea is listed as a live music performance in Warsaw. It is scheduled on 17 October 2026 at 18:00 at Klub Proxima, Żwirki i Wigury 99A, 02-089 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-17T18:00;;sessions;false;;;;;Klub Proxima, Żwirki i Wigury 99A, 02-089 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Simple Plan: BIGGER THAN YOU THINK! EU/UK Tour 2026;Simple Plan: BIGGER THAN YOU THINK! EU/UK Tour 2026 is listed as a live music performance in Warsaw. It is scheduled on 17 October 2026 at 18:00 at EXPO XXI, Prądzyńskiego 12/14, 01-222 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-17T18:00;;sessions;false;;;;;EXPO XXI, Prądzyńskiego 12/14, 01-222 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;God Save The Queen;God Save The Queen is listed as a tribute concert in Warsaw. It is scheduled on 17 October 2026 at 20:00 at Arena Ursynów, Pileckiego 122, 02-781 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-17T20:00;;sessions;false;;;;;Arena Ursynów, Pileckiego 122, 02-781 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=11;active;;;;
;Der Weg Einer Freiheit, support: Conjurer and Brnsjmin;Der Weg Einer Freiheit, support: Conjurer and Brnsjmin is listed as a metal concert in Warsaw. It is scheduled on 18 October 2026 at 19:00 at Klub Mechanik, Narbutta 87, 02-524 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-18T19:00;;sessions;false;;;;;Klub Mechanik, Narbutta 87, 02-524 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=12;active;;;;
;BABE HAVEN + LATTER;BABE HAVEN + LATTER is listed as a live music performance in Warsaw. It is scheduled on 18 October 2026 at 20:00 at VooDoo Club — Stage 2, al. Prymasa Tysiąclecia 48A, 01-242 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-18T20:00;;sessions;false;;;;;VooDoo Club — Stage 2, al. Prymasa Tysiąclecia 48A, 01-242 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=12;active;;;;
;Temples, support: JEWLS;Temples, support: JEWLS is listed as a live music performance in Warsaw. It is scheduled on 27 October 2026 at 20:00 at Niebo, Nowy Świat 21, 00-029 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-27T20:00;;sessions;false;;;;;Niebo, Nowy Świat 21, 00-029 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=13;active;;;;
;Puscifer;Puscifer is listed as a live music performance in Warsaw. It is scheduled on 28 October 2026 at 18:00 at Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-28T18:00;;sessions;false;;;;;Klub Stodoła, Stefana Batorego 10, 02-591 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=13;active;;;;
;Eryk Moczko;Eryk Moczko is listed as a live music performance in Warsaw. It is scheduled on 29 October 2026 at 20:00 at Progresja, Fort Wola 22, 01-258 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-29T20:00;;sessions;false;;;;;Progresja, Fort Wola 22, 01-258 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=13;active;;;;
;Kate Ryan: Génération Désenchantée — 25th Anniversary Tour;Kate Ryan: Génération Désenchantée — 25th Anniversary Tour is listed as a live music performance in Warsaw. It is scheduled on 30 October 2026 at 18:00 at Klub Palladium, Złota 9, 00-019 Warsaw. Ticket price and availability are to be confirmed with the organiser. This English event summary is based on publicly available organiser or ticket-calendar information. Confirm the final programme, entry rules, accessibility arrangements and ticket availability with the source before travelling.;2026-10-30T18:00;;sessions;false;;;;;Klub Palladium, Złota 9, 00-019 Warsaw;;;;;;Price TBA — check the official ticket office;false;;https://www.ticketmaster.pl/discover/warsaw?language=en-us&page=13;active;;;;
